【惊抓抓】	形容声音尖利刺耳，或大惊小怪的样子
【短处处】	很短的样子
【灯晃】	闲逛、游手好闲
【共过来】	挤过来
【不扭老（了）】	不动了
【俺到】	估计、以为
【调】	跑
【扯扑汗】	打呼噜
【挖爪】	肮脏
【喱】	用脚碾踩
【逞下去】	压下去
【壁】	过滤
【哈哈儿】	马上、一会儿
【肥咚咚】	胖乎乎
【麻】	骗
【记倒】	记住
【男娃儿】	男孩
【爪球】	踢球
【嫩个】	这么
【打望】	看美女
【装莽】	装傻
【莫搞豪】	别乱来
【堂客】	老婆（湖南方言）
【回切（去）】	回去
【郎个呦台哦】	怎么得了（表担忧）
【拈菜】	夹菜
【斗室（是）】	就是
【对头】	正确
【霸道惨老（了）】	厉害极了
【清候】	收拾、教训
【搭巴巴车】	搭便车
【洋气】	时髦、得意
【好黑人】	好吓人
【黑哈】	很傻
【扫皮】	丢脸
【搭飞白】	搭讪
【莫恁个】	别这样
【撒子】	什么
【油济济】	油乎乎
【款到】	碰到
【孩（鞋）子等等儿】	鞋跟
【恩脚】	硌脚
【古】	猜
【车笔刀】	卷笔刀
【哈猴】	变质、变味
【里骂】	责备
【甲甲】	身上污垢
【排轮子】	排队
【债起】	缝补
【哦尿尿】	撒尿（儿语）
【喝开开】	喝水（儿语）
【睡告告】	睡觉（儿语）
【筐歪歪】	哄睡（儿语）
【搞拢巧】	碰巧、凑巧
【赌底】	打赌
【手倒拐】	胳膊肘
【阴到】	偷偷地
【憨吃哈账】	胡吃海塞
【玄皮寡脸】	厚着脸皮
【有盐有味】	生动有趣
【吹扑打鼾】	打鼾很响
【八颗八颗】	大颗滴落（指汗水）
【鬼冒火】	非常生气
【水垮垮】	不靠谱
【莫鬼款】	别胡说
【七（吃）】	吃（湖北方言）
【孔雀】	爱管闲事
【热豁】	热乎
【绷起】	端着架子
【区马打黑】	脏兮兮
【称头】	体面、像样
【冰欠】	冰凉解渴
【杀刮立正】	衣着笔挺
【一哈哈】	一会儿
【年辰】	年头、时间久
【憨包】	傻瓜
【zhua】	踢
【龟儿子】	龟孙子（骂人）
【宝器】	傻里傻气
【喀喀】	角落
【称透】	工整美观
【得行】	能干、可以
【超】	时髦、帅气
【耿直】	爽快义气
【汗爬水流】	大汗淋漓
【扯得狠】	吹牛夸张
【捡粑合】	捡便宜
【霉子】	托儿
【耙和】	便宜
【不开腔】	不吭声
【哪点】	哪里
【走帕】	拖把
【紧着】	老是、总是
【垮起】	板着脸
【叮叮猫】	蜻蜓
【恼火】	麻烦
【踏血】	贬低、诋毁
【遭不住】	受不了
【打偏偏】	走路摇晃
【鬼款】	胡说八道
【告一盘】	试一下
【龟儿】	小子（蔑称）
【喀喀头】	角落里
【脑壳】	脑袋
【哈批戳戳】	傻乎乎
【刹一脚】	停车（重庆方言）
【莫搞毫】	别乱动
【背兜】	背篓
【送菜】	当炮灰、垫背
【飞起】	飞快地
【捡撇脱】	捡现成
【遇得倒哦】	真倒霉
【安（淹）死老（了）】	淹死了
【哦货】	完蛋
【哈（下）】	下、次（量词）
【莽进去】	喂进去
【嗨得】	能吃
【咔】	掐
【扒到】	紧挨
【翻羊角砖儿】	翻跟头
【瓦饭】	舀饭
【卡过来】	跨过来
【咔咔各各】	各个角落
【王chuachua】	无所事事
【窝料（尿）】	撒尿
【勒里】	这里
【卡卡各各】	各个角落
【低低噶噶儿】	一点点
【闹热】	热闹
【咩】	掰
【杀一脚】	停车
【夺】	顶、戳
【装起】	补上
【仙人板板】	祖宗（表无奈）
【瓜西西】	傻傻的
【安逸】	舒服
【切（去）】	去
【吹垮垮】	闲聊
【登读】	块头大
【吃莽莽】	吃饭（儿语）
【啥子】	什么
【琛（真）】	真（程度副词）
【咳】	咳嗽
