【惊抓抓】	【惊<抓抓>】	形容声音尖利刺耳，或大惊小怪的样子
【龟儿子】	【龟儿子】	龟孙子（骂人）
【宝器】	【宝器】	傻里傻气
【喀喀】	【<喀喀>】	角落
【称透】	【<称>透】	工整美观
【得行】	【得行】	能干、可以
【超】	【超】	时髦、帅气
【耿直】	【耿直】	爽快义气
【汗爬水流】	【汗<爬>水流】	大汗淋漓
【扯得狠】	【<扯>得狠】	吹牛夸张
【捡粑合】	【捡<粑>合】	捡便宜
【霉子】	【霉子】	托儿
【耙和】	【<耙>和】	便宜
【不开腔】	【不开<腔>】	不吭声
【哪点】	【哪点】	哪里
【走帕】	【走<帕>】	拖把
【紧着】	【紧着】	老是、总是
【垮起】	【<垮>起】	板着脸
【叮叮猫】	【叮叮猫】	蜻蜓
【恼火】	【<恼>火】	麻烦
【踏血】	【<踏血>】	贬低、诋毁
【遭不住】	【<遭>不住】	受不了
【打偏偏】	【打偏偏】	走路摇晃
【鬼款】	【<鬼款>】	胡说八道
【告一盘】	【告一盘】	试一下
【龟儿】	【龟儿】	小子（蔑称）
【喀喀头】	【<喀喀>头】	角落里
【脑壳】	【脑<壳>】	脑袋
【哈批戳戳】	【哈批<戳戳>】	傻乎乎
【刹一脚】	【刹一脚】	停车（重庆方言）
【莫搞毫】	【莫搞<毫>】	别乱动
【背兜】	【背兜】	背篓
【送菜】	【送菜】	当炮灰、垫背
【飞起】	【飞起】	飞快地
【捡撇脱】	【捡<撇脱>】	捡现成
【遇得倒哦】	【遇得倒哦】	真倒霉
【安死老】	【{安(淹)}死{老(了)}】	淹死了
【哦货】	【哦货】	完蛋
【哈】	【{哈(下)}】	下、次（量词）
【莽进去】	【<莽>进去】	喂进去
【嗨得】	【<嗨>得】	能吃
【咔】	【咔】	掐
【扒到】	【扒到】	紧挨
【翻羊角砖儿】	【翻羊角砖儿】	翻跟头
【瓦饭】	【<瓦>饭】	舀饭
【卡过来】	【卡过来】	跨过来
【咔咔各各】	【咔咔各各】	各个角落
【王chuachua】	【王<chuachua>】	无所事事
【窝料】	【窝{料(尿)}】	撒尿
【勒里】	【勒里】	这里
【卡卡各各】	【卡卡各各】	各个角落
【低低噶噶儿】	【低低<噶噶>儿】	一点点
【闹热】	【闹热】	热闹
【咩】	【<咩>】	掰
【杀一脚】	【<杀>一脚】	停车
【夺】	【<夺>】	顶、戳
【装起】	【装起】	补上
【仙人板板】	【仙人<板板>】	祖宗（表无奈）
【瓜西西】	【瓜西西】	傻傻的
【安逸】	【安<逸>】	舒服
【切】	【{切(去)}】	去
【吹垮垮】	【吹<垮垮>】	闲聊
【登读】	【<登读>】	块头大
【吃莽莽】	【吃<莽莽>】	吃饭（儿语）
【啥子】	【<啥>子】	什么
【琛】	【{琛(真)}】	   真（程度副词）
【咳】	【<咳>】	咳嗽
【雀】	【老汉儿】	 瞧
【老汉儿】	【{雀(瞧)}】	①父亲 ②老公（带调侃）
【欺头】	【欺头】	便宜、好处
【洗刷】	【<洗>刷】	讽刺、嘲弄、让人难堪
【不存在】	【不存在】	没问题、没关系、别客气
【妖艳儿】	【妖艳儿】	形容人爱打扮、臭美、作怪
【巴心巴肠】	【<巴>心<巴>肠】	全心全意、掏心掏肺地对人好
【舔口舔嘴】	【舔口舔嘴】	吃完东西意犹未尽的样子
【撒窝子】	【撒窝子】	①钓鱼前投饵料做窝 ②引申为办事前铺垫、打基础
【占欺头】	【占欺头】	占便宜，特指在辈分、言语上占人便宜
【吃豁皮】	【吃<豁>皮】	吃白食、占便宜
【打牙祭】	【打牙<祭>】	改善伙食，吃好吃的
【幺不到台】	【<幺>不到台】	不得了、下不了台（形容事情严重或人很嚣张）
【不摆了】	【不摆了】	①好得没法说 ②不想说了
【哦豁】	【哦<豁>】	语气词，完蛋了、糟糕了（表达惋惜或遗憾）
【搞啥子名堂】	【搞啥子名堂】	搞什么鬼？干什么呢？
【蛮扎实】	【蛮<扎>实】	很厉害、很强（武汉方言）
【糟逼】	【糟<逼>】	形容人狼狈、窘迫的样子（云南方言）
【脖子】	【脖子】	拳头（云南方言，如“一脖子甩过来”）
【嘈耐】	【嘈<耐>】	恶心、令人反感（云南方言）
【咯得】	【咯得】	是不是
【尖刚】	【尖刚】	形容人聪明、机灵
【囔囔】	【<囔囔>】	肉（云南方言，儿语或调侃）
【喏喏】	【<喏喏>】	对，是的（表示同意）
【咋个整】	【咋个<整>】	怎么办
【厮儿】	【<厮>儿】	小子（带轻蔑或戏谑）
【皮皮翻翻】	【皮皮翻翻】	形容物品起皱、不平整或事情纠缠不清
【得闲】	【得闲】	有空
【泼烦】	【<泼>烦】	烦躁、讨厌
【茅厮】	【茅<厮>】	厕所
【扎米】	【<扎米>】	吃饭（贵州部分地区，调侃或儿语）
【<拉稀摆带>】	【<拉稀摆带>】	形容做事拖拉、不果断或关键时刻掉链子
【弯拐】	【弯<拐>】	①弯曲的地方 ②心眼多、不直爽
【嘘慌】	【嘘<慌>】	别慌、慢点
【张张】	【张张】	纸
【皮绊】	【皮绊】	麻烦、纠纷
【血股拎裆】	【<血>股<拎>裆】	血淋淋的
【客麻】	【{客麻(蛤蟆)}】	青蛙
【茅草】	【{茅(毛)}草】	形容人做事毛躁、不细心
【滇滇】	【<滇滇>】	看看、瞧一瞧
【款天】	【<款>天】	聊天、吹牛
【颠东】	【<颠东>】	糊涂、记性差
【二天】	【二天】	以后、改天
【渣哇】	【<渣>哇】	吵闹、喧哗
【韶得很】	【{韶(骚)}得很】	形容人爱卖弄、显摆
【做活路】	【做活路】	干活、工作
【苞谷】	【苞谷】	玉米
【霸蛮】	【<霸蛮>】	拼命、硬来
【里手】	【里手】	内行、专家
【了难】	【<了难>】	解决问题、摆平麻烦
【呷】	【<呷>】	吃（湖南方言）
【何解】	【何解】	为什么、怎么回事
【妹陀】	【妹<陀>】	小姑娘
【满哥】	【<满>哥】	小伙子
【灵泛】	【<灵泛>】	聪明、灵活
【得路】	【得路】	捡便宜、得好处
【下皮】	【下皮】	下流、无耻
【耍拉】	【<耍>拉】	利索、快一点
【讲口】	【讲口】	吵架
【浮子】	【<浮>子】	毛巾
【摸坨】	【{摸(磨)}坨】	磨蹭、动作慢
【筐瓢】	【<筐瓢>】	搞砸了、失误
